region,country_code,menu_split_store_id,creation_date,mother_brand_store_id,store_segment,tags
SWE,PL,242868,2020-11-28,214507,Long Tail,Food
SWE,IT,309281,2021-05-24,309089,Long Tail,Food
SWE,PL,264630,2021-02-03,264536,Long Tail,Food
SWE,ES,265893,2021-02-05,257717,Long Tail,Burger
SWE,PL,267519,2021-02-11,211159,Long Tail,Food
EEMEA,UA,232790,2020-11-03,96824,Chain,Pizza
EEMEA,KZ,302578,2021-05-06,296289,Long Tail,Grill
SWE,IT,298616,2021-04-27,288213,Long Tail,Food
SWE,PL,234508,2020-11-07,168745,Long Tail,Italian
EEMEA,UA,291238,2021-04-12,165223,Long Tail,Qcommerce
SWE,IT,300812,2021-05-03,274900,Long Tail,Food
SWE,PL,252291,2020-12-22,110071,Long Tail,Food
SWE,IT,299729,2021-04-29,95097,Long Tail,Food
SWE,IT,267234,2021-02-10,261723,Long Tail,Chinese
SWE,PL,287262,2021-03-31,286935,Long Tail,Food
SWE,ES,277851,2021-03-06,18784,Long Tail,Ice Cream
SWE,IT,237413,2020-11-17,237070,Long Tail,Italian
SWE,IT,294396,2021-04-19,292866,Long Tail,Food
SWE,ES,304380,2021-05-11,303068,Long Tail,Food
LATAM,PE,234560,2020-11-07,191084,Long Tail,-
SWE,IT,266061,2021-02-08,236002,Long Tail,Sweets
SWE,PL,284845,2021-03-25,119613,Long Tail,Food
SWE,ES,291039,2021-04-10,290928,Long Tail,Food
EEMEA,RO,225820,2020-10-13,190213,Long Tail,Pizza
EEMEA,UA,306664,2021-05-18,306599,Local Hero,Ukrainian
SWE,PT,228321,2020-10-21,96299,Long Tail,Food
SWE,ES,308647,2021-05-21,7268,Long Tail,Food
EEMEA,MA,224918,2020-10-10,80838,Long Tail,Italian
SWE,IT,302994,2021-05-07,180856,Long Tail,Food
EEMEA,UA,308264,2021-05-21,45482,Long Tail,Qcommerce
SWE,ES,313576,2021-05-31,68143,Long Tail,Food
SWE,PT,228356,2020-10-21,34364,Long Tail,Food
SWE,ES,215901,2020-09-07,97288,Long Tail,Chinese
SWE,ES,215910,2020-09-07,97288,Long Tail,Chicken
SWE,IT,264105,2021-02-02,217582,Long Tail,Healthy
SWE,IT,303084,2021-05-07,303004,Long Tail,Food
SWE,IT,289392,2021-04-06,286111,Long Tail,Food
SWE,ES,307296,2021-05-19,210567,Long Tail,Food
SWE,ES,302800,2021-05-06,303033,Long Tail,Food
EEMEA,KZ,240164,2020-11-24,235646,Long Tail,Burger
SWE,ES,307424,2021-05-19,281241,Long Tail,Food
SWE,PT,228135,2020-10-21,199497,Long Tail,Food
SWE,PL,230284,2020-10-27,92462,Long Tail,Pizza
SWE,IT,300231,2021-04-30,103112,Long Tail,Food
SWE,IT,289785,2021-04-07,221141,Long Tail,Food
SWE,ES,303473,2021-05-08,303181,Long Tail,Food
SWE,ES,220138,2020-09-25,219465,Long Tail,Pizza
SWE,ES,286754,2021-03-30,209761,Long Tail,Mexican
SWE,PT,228272,2020-10-21,201856,Long Tail,Food
SWE,PL,288171,2021-04-02,287502,Long Tail,Food
EEMEA,UA,291192,2021-04-12,165206,Long Tail,Qcommerce
EEMEA,RO,207048,2020-07-29,190788,Long Tail,-
SWE,ES,297471,2021-04-23,295544,Long Tail,Food
EEMEA,RO,302588,2021-05-06,286017,Long Tail,Food
SWE,IT,275481,2021-03-02,272354,Long Tail,Italian
SWE,PL,229463,2020-10-24,229454,Long Tail,Turkish
EEMEA,UA,305527,2021-05-14,290044,Long Tail,Food
SWE,ES,234294,2020-11-06,236223,Long Tail,Vegan / Vegetarian
SWE,IT,252219,2020-12-22,251521,Long Tail,Grill
SWE,IT,293983,2021-04-16,293207,Long Tail,Food
EEMEA,RO,287077,2021-03-31,82837,Long Tail,Food
SWE,ES,297624,2021-04-23,258597,Long Tail,Food
SWE,IT,256849,2021-01-13,252966,Long Tail,Italian
SWE,IT,277866,2021-03-07,277346,Long Tail,Pasta
SWE,ES,278299,2021-03-08,278132,Long Tail,American
SWE,IT,297374,2021-04-23,294310,Long Tail,Food
EEMEA,RO,245836,2020-12-07,155490,Long Tail,Grill
EEMEA,UA,279990,2021-03-12,226435,Local Hero,Ukrainian
SWE,IT,230998,2020-10-28,92036,Long Tail,Sandwich
SWE,ES,218394,2020-09-18,204829,Long Tail,Mexican
SWE,IT,222652,2020-10-05,222539,Long Tail,Italian
SWE,PT,228440,2020-10-21,145978,Long Tail,Indian
SWE,ES,299434,2021-04-28,298981,Long Tail,Food
SWE,ES,279748,2021-03-11,278179,Long Tail,Pizza
SWE,IT,253916,2020-12-29,33067,Long Tail,Drinks
SWE,ES,208686,2020-08-05,96975,Long Tail,Ramen
EEMEA,GE,280867,2021-03-16,51371,Big Chain,Chicken
SWE,IT,283723,2021-03-23,10468,Long Tail,Food
SWE,ES,213561,2020-08-26,213338,Long Tail,Pizza
SWE,ES,218717,2020-09-18,6287,Long Tail,Poke
SWE,IT,303657,2021-05-10,303253,Long Tail,Food
SWE,ES,279312,2021-03-10,166426,Long Tail,Mexican
EEMEA,UA,215790,2020-09-07,215784,Long Tail,Italian
EEMEA,MA,309595,2021-05-25,166570,Long Tail,Burger
SWE,ES,284224,2021-03-24,259958,Long Tail,Pizza
SWE,PT,228388,2020-10-21,182285,Long Tail,Food
SWE,IT,241560,2020-11-26,238887,Long Tail,Italian
EEMEA,UA,306714,2021-05-18,306603,Long Tail,Groceries
SWE,IT,262612,2021-01-29,261837,Long Tail,Food
SWE,ES,299641,2021-04-29,127790,Long Tail,Qcommerce
SWE,ES,298726,2021-04-27,272786,Long Tail,Food
SWE,ES,297552,2021-04-23,186144,Long Tail,Food
EEMEA,UA,247212,2020-12-10,185327,Long Tail,Qcommerce
EEMEA,KE,227042,2020-10-17,92715,Long Tail,Indian
SWE,IT,300723,2021-05-03,32895,Long Tail,Food
SWE,PL,238881,2020-11-20,166139,Long Tail,Polish
SWE,PT,257143,2021-01-14,256824,Long Tail,Food
SWE,IT,293993,2021-04-16,293901,Long Tail,Food
SWE,IT,289631,2021-04-07,268677,Long Tail,Food
SWE,ES,290120,2021-04-08,289892,Long Tail,Food
EEMEA,UA,247216,2020-12-10,191655,Long Tail,Qcommerce
EEMEA,UA,312232,2021-05-28,157944,Long Tail,Food
SWE,IT,231454,2020-10-29,12951,Long Tail,Kebab
SWE,PT,228378,2020-10-21,113166,Long Tail,Food
EEMEA,KZ,230773,2020-10-27,131312,Long Tail,Turkish
EEMEA,RO,297387,2021-04-23,297182,Long Tail,-
EEMEA,RS,246159,2020-12-08,245614,Long Tail,-
SWE,IT,300902,2021-05-03,256176,Long Tail,Food
SWE,ES,292640,2021-04-14,270413,Long Tail,Food
SWE,PL,236341,2020-11-13,234039,Long Tail,Chinese
SWE,IT,293881,2021-04-16,291337,Long Tail,Food
SWE,PT,228166,2020-10-21,82681,Long Tail,Food
SWE,IT,258809,2021-01-20,142065,Long Tail,Pizza
SWE,PL,244662,2020-12-03,239071,Long Tail,Indian
EEMEA,UA,295130,2021-04-20,164503,Long Tail,Qcommerce
EEMEA,GE,236470,2020-11-13,49154,Long Tail,Italian
SWE,IT,292554,2021-04-14,292341,Long Tail,Food
SWE,ES,220986,2020-09-29,220731,Long Tail,Pizza
SWE,IT,294471,2021-04-19,294284,Long Tail,Food
SWE,ES,262426,2021-01-28,32470,Long Tail,Vegan / Vegetarian
SWE,PL,255194,2021-01-05,92686,Long Tail,Food
EEMEA,HR,243559,2020-11-30,77228,Long Tail,-
SWE,IT,290068,2021-04-08,59391,Long Tail,Food
SWE,IT,278444,2021-03-09,279223,Long Tail,Tacos
SWE,ES,216178,2020-09-08,35631,Long Tail,Healthy
SWE,ES,223344,2020-10-06,138264,Long Tail,Burger
SWE,IT,278051,2021-03-08,277990,Long Tail,Pizza
EEMEA,UA,227338,2020-10-19,227336,Long Tail,American
SWE,ES,307433,2021-05-19,239090,Long Tail,Food
SWE,IT,313271,2021-05-31,307123,Long Tail,Food
SWE,ES,271620,2021-02-22,261335,Long Tail,Spanish
SWE,IT,290982,2021-04-10,289709,Long Tail,Qcommerce
SWE,ES,298763,2021-04-27,298432,Long Tail,Food
SWE,PT,226037,2020-10-14,226021,Long Tail,Healthy
SWE,IT,286983,2021-03-31,286920,Long Tail,Food
SWE,IT,227730,2020-10-20,227679,Long Tail,Thai
SWE,PL,236985,2020-11-16,145694,Long Tail,Vegan / Vegetarian
SWE,ES,209224,2020-08-06,157226,Long Tail,Grill
EEMEA,RO,226042,2020-10-14,215403,Long Tail,Grill
EEMEA,RO,248769,2020-12-15,238810,Long Tail,-
SWE,IT,282190,2021-03-18,282042,Long Tail,American
SWE,IT,310610,2021-05-27,310113,Long Tail,Food
EEMEA,UA,220542,2020-09-28,51875,Long Tail,Japanese
EEMEA,UA,312093,2021-05-27,277357,Local Hero,Ukrainian
SWE,PT,235392,2020-11-10,237919,Long Tail,Kebab
SWE,PL,240146,2020-11-24,239887,Long Tail,Mexican
SWE,IT,309152,2021-05-24,307930,Long Tail,Food
EEMEA,UA,312096,2021-05-27,311802,Local Hero,Ukrainian
EEMEA,RS,230092,2020-10-26,136949,Long Tail,American
SWE,PT,228433,2020-10-21,206259,Long Tail,Food
SWE,IT,234042,2020-11-06,142174,Long Tail,Food
EEMEA,KZ,229433,2020-10-24,106418,Long Tail,Burger
SWE,ES,279311,2021-03-10,278292,Long Tail,Latin
EEMEA,UA,294681,2021-04-19,165191,Long Tail,Qcommerce
SWE,PL,299789,2021-04-29,299725,Long Tail,Food
SWE,IT,253710,2020-12-28,252809,Long Tail,Food
SWE,IT,300825,2021-05-03,16694,Long Tail,Food
SWE,IT,275783,2021-03-02,168842,Long Tail,Sandwich
EEMEA,UA,249916,2020-12-17,202484,Long Tail,Qcommerce
SWE,PT,248817,2020-12-15,248782,Local Hero,Food
EEMEA,UA,291200,2021-04-12,165189,Long Tail,Qcommerce
SWE,ES,307344,2021-05-19,305925,Long Tail,Food
SWE,IT,293135,2021-04-15,292823,Long Tail,Food
SWE,ES,208375,2020-08-04,206896,Long Tail,Grill
SWE,IT,261732,2021-01-27,258743,Long Tail,Pizza
EEMEA,KZ,229676,2020-10-25,128126,Long Tail,Burger
EEMEA,UA,300157,2021-04-30,300634,Long Tail,Food
SWE,IT,219003,2020-09-21,216016,Long Tail,Italian
SWE,IT,295771,2021-04-21,295714,Long Tail,Food
SWE,IT,312411,2021-05-28,310646,Long Tail,Drinks
SWE,IT,238945,2020-11-20,238803,Long Tail,Food
SWE,IT,298632,2021-04-27,148976,Long Tail,Food
SWE,IT,297179,2021-04-23,296606,Long Tail,Food
SWE,ES,297426,2021-04-23,292038,Long Tail,Food
SWE,ES,213551,2020-08-26,213010,Long Tail,Turkish
EEMEA,RO,213474,2020-08-26,110735,Long Tail,Pizza
SWE,IT,295288,2021-04-20,295223,Long Tail,Food
SWE,IT,264685,2021-02-03,244170,Long Tail,Pizza
SWE,ES,309853,2021-05-25,156713,Long Tail,Food
SWE,ES,218015,2020-09-16,154859,Long Tail,Vegan / Vegetarian
SWE,ES,208312,2020-08-04,166381,Long Tail,Pizza
EEMEA,KZ,227874,2020-10-21,227117,Long Tail,Uzbeki
EEMEA,UA,312101,2021-05-27,295717,Long Tail,Food
SWE,IT,228072,2020-10-21,196444,Long Tail,Chicken
SWE,ES,307926,2021-05-20,307426,Long Tail,Food
EEMEA,UA,246482,2020-12-08,246483,Local Hero,Vegan / Vegetarian
SWE,IT,294393,2021-04-19,293729,Long Tail,Food
SWE,IT,215113,2020-09-03,14715,Long Tail,Food
SWE,PL,232200,2020-11-01,232186,Long Tail,Polish
EEMEA,MA,217229,2020-09-14,135092,Long Tail,Pasta
SWE,PL,192823,2020-06-05,192814,Long Tail,Turkish
SWE,ES,270022,2021-02-17,47196,Long Tail,Food
SWE,IT,302206,2021-05-05,252800,Long Tail,Food
EEMEA,UA,243343,2020-11-30,242949,Long Tail,Ukrainian
SWE,IT,215114,2020-09-03,214737,Long Tail,Food
EEMEA,UA,232366,2020-11-02,231596,Long Tail,Sushi
SWE,IT,276336,2021-03-03,274170,Long Tail,Chinese
SWE,PT,303665,2021-05-10,145790,Long Tail,Food
EEMEA,MA,239089,2020-11-20,63291,Long Tail,Burger
SWE,IT,304665,2021-05-12,304423,Long Tail,Food
SWE,IT,302011,2021-05-05,301904,Long Tail,Food
SWE,IT,233549,2020-11-05,75822,Long Tail,Food
EEMEA,UA,258664,2021-01-20,258413,Long Tail,Japanese
SWE,IT,291276,2021-04-12,291389,Long Tail,Food
SWE,IT,301619,2021-05-04,278949,Long Tail,Food
EEMEA,KE,275348,2021-03-02,120836,Long Tail,Food
EEMEA,RS,313493,2021-05-31,313463,Long Tail,-
SWE,PL,210703,2020-08-13,92533,Long Tail,Food
EEMEA,UA,233765,2020-11-05,231764,Long Tail,American
SWE,IT,279155,2021-03-10,279205,Long Tail,Burger
SWE,IT,293242,2021-04-16,294268,Long Tail,Food
SWE,IT,293097,2021-04-15,292850,Long Tail,Food
EEMEA,RO,244041,2020-12-02,237601,Long Tail,-
SWE,ES,297780,2021-04-24,252727,Long Tail,Food
EEMEA,UA,311034,2021-05-27,210866,Local Hero,-
SWE,IT,284717,2021-03-25,283205,Long Tail,Food
SWE,ES,209089,2020-08-05,66487,Long Tail,Healthy
SWE,PL,278230,2021-03-08,276309,Long Tail,Food
SWE,PL,242942,2020-11-28,184565,Long Tail,Soups
SWE,IT,283640,2021-03-23,283543,Long Tail,Food
SWE,ES,297363,2021-04-23,292487,Long Tail,Food
SWE,ES,220478,2020-09-26,220302,Long Tail,American
SWE,ES,302255,2021-05-05,248031,Long Tail,Food
SWE,IT,309655,2021-05-25,306215,Big Chain,Food
EEMEA,UA,199859,2020-06-30,171440,Chain,Japanese
SWE,IT,288183,2021-04-02,281534,Long Tail,Food
SWE,PL,233959,2020-11-06,233958,Long Tail,Food
EEMEA,KE,279693,2021-03-11,279728,Long Tail,Food
SWE,PT,236154,2020-11-12,83871,Long Tail,Portuguese
SWE,PL,252424,2020-12-22,240928,Long Tail,Food
EEMEA,UA,294910,2021-04-20,164592,Long Tail,Qcommerce
SWE,IT,249365,2020-12-16,248513,Long Tail,Kebab
SWE,IT,266203,2021-02-08,258274,Long Tail,Chinese
SWE,IT,245271,2020-12-04,216602,Long Tail,Mexican
SWE,IT,309611,2021-05-25,306519,Big Chain,Food
SWE,ES,297600,2021-04-23,296108,Long Tail,Food
EEMEA,UG,291037,2021-04-10,289427,Long Tail,Food
SWE,PT,211710,2020-08-18,183627,Chain,Qcommerce
SWE,IT,286108,2021-03-29,285750,Long Tail,Food
SWE,PL,256171,2021-01-11,255572,Long Tail,Food
SWE,PL,254363,2020-12-30,254255,Long Tail,Food
SWE,IT,280040,2021-03-12,240580,Long Tail,Food
SWE,IT,275564,2021-03-02,244300,Long Tail,Pizza
EEMEA,UA,311595,2021-05-27,164418,Long Tail,Qcommerce
EEMEA,CI,212120,2020-08-20,108669,Long Tail,Snacks
SWE,ES,306389,2021-05-17,260475,Long Tail,Food
EEMEA,UA,247614,2020-12-11,213933,Long Tail,Qcommerce
SWE,IT,260741,2021-01-25,19246,Long Tail,Healthy
SWE,IT,300344,2021-04-30,286665,Long Tail,Food
SWE,IT,293081,2021-04-15,292876,Long Tail,Food
EEMEA,KZ,229418,2020-10-24,140938,Long Tail,Italian
EEMEA,GE,237330,2020-11-17,111277,Long Tail,Mexican
EEMEA,UA,291245,2021-04-12,164469,Long Tail,Qcommerce
SWE,IT,293067,2021-04-15,290001,Long Tail,Food
SWE,ES,297004,2021-04-22,295918,Long Tail,Food
SWE,ES,220389,2020-09-25,77667,Long Tail,Italian
SWE,IT,284217,2021-03-24,283489,Long Tail,Food
SWE,PL,267624,2021-02-11,211169,Long Tail,Food
SWE,ES,306419,2021-05-17,216890,Long Tail,Qcommerce
SWE,ES,213852,2020-08-27,8802,Long Tail,Healthy
SWE,PT,252682,2020-12-22,252323,Long Tail,Qcommerce
SWE,ES,218613,2020-09-18,193591,Long Tail,Pizza
SWE,IT,205871,2020-07-23,148118,Long Tail,Pizza
EEMEA,UA,295177,2021-04-20,164433,Long Tail,Qcommerce
SWE,IT,271964,2021-02-23,271270,Long Tail,Italian
SWE,IT,231597,2020-10-29,189173,Long Tail,Food
SWE,IT,297202,2021-04-23,296307,Long Tail,Food
SWE,IT,249026,2020-12-15,157617,Big Chain,Sweets
LATAM,PE,269089,2021-02-15,39459,Long Tail,Food
EEMEA,UA,247572,2020-12-11,213934,Long Tail,Qcommerce
EEMEA,UA,239819,2020-11-23,239282,Long Tail,Italian
SWE,ES,300515,2021-04-30,300433,Long Tail,Food
SWE,ES,311064,2021-05-27,30093,Long Tail,Food
EEMEA,RO,301233,2021-05-04,299866,Long Tail,Food
EEMEA,KE,280435,2021-03-15,58804,Long Tail,Food
SWE,IT,248241,2020-12-13,148089,Long Tail,Pizza
SWE,IT,277302,2021-03-05,276154,Long Tail,Pizza
EEMEA,UA,216587,2020-09-10,45495,Chain,Japanese
SWE,IT,281275,2021-03-16,281128,Long Tail,Pizza
SWE,ES,290389,2021-04-08,290382,Long Tail,Food
SWE,PT,242643,2020-11-27,242626,Long Tail,Food
SWE,IT,305601,2021-05-14,305577,Long Tail,Food
SWE,PL,235486,2020-11-11,228254,Long Tail,Chinese
SWE,PL,226822,2020-10-16,225974,Long Tail,Polish
EEMEA,UA,295079,2021-04-20,165191,Long Tail,Qcommerce
SWE,ES,304355,2021-05-11,107767,Long Tail,Food
SWE,ES,266351,2021-02-08,266265,Long Tail,Pizza
SWE,IT,264587,2021-02-03,172139,Long Tail,Food
SWE,PT,235390,2020-11-10,237919,Long Tail,Pizza
SWE,IT,294109,2021-04-16,293928,Long Tail,Food
EEMEA,RO,209999,2020-08-11,210007,Long Tail,Food
SWE,ES,308674,2021-05-21,164409,Long Tail,Food
SWE,ES,308982,2021-05-22,260529,Long Tail,Food
EEMEA,RO,214908,2020-09-02,82837,Long Tail,Italian
SWE,IT,291792,2021-04-13,291477,Long Tail,Food
SWE,IT,246287,2020-12-08,153526,Long Tail,Kebab
SWE,ES,305903,2021-05-14,239090,Long Tail,Food
SWE,PL,254289,2020-12-30,121631,Long Tail,Food
SWE,IT,223803,2020-10-08,195325,Long Tail,Pizza
SWE,IT,244731,2020-12-03,135907,Long Tail,Italian
EEMEA,UA,311929,2021-05-27,185370,Long Tail,Qcommerce
SWE,ES,239211,2020-11-20,120499,Long Tail,-
SWE,IT,276085,2021-03-03,274965,Long Tail,Pizza
EEMEA,MA,215895,2020-09-07,190358,Long Tail,Pizza
SWE,IT,305573,2021-05-14,59995,Long Tail,Food
SWE,IT,292132,2021-04-14,290318,Long Tail,Food
SWE,ES,303943,2021-05-10,303810,Long Tail,Food
EEMEA,RO,213192,2020-08-25,211900,Long Tail,Burger
EEMEA,RO,304053,2021-05-11,240097,Long Tail,Food
SWE,IT,270311,2021-02-18,195610,Long Tail,Pizza
SWE,PL,297863,2021-04-25,297855,Long Tail,Food
SWE,ES,312536,2021-05-28,310752,Long Tail,Food
SWE,IT,293000,2021-04-15,295669,Long Tail,Food
SWE,IT,268544,2021-02-13,270548,Long Tail,Food
SWE,ES,218675,2020-09-18,128969,Long Tail,Burger
SWE,ES,307994,2021-05-20,255237,Long Tail,Food
SWE,IT,274973,2021-03-01,274641,Long Tail,Food
SWE,IT,304507,2021-05-12,244664,Long Tail,Food
EEMEA,UG,277041,2021-03-04,229100,Long Tail,Food
SWE,ES,220485,2020-09-27,168404,Long Tail,Burger
SWE,IT,248128,2020-12-12,158003,Big Chain,Sweets
EEMEA,KE,293271,2021-04-16,157901,Long Tail,Food
SWE,IT,302220,2021-05-05,288539,Long Tail,Food
SWE,PL,191380,2020-06-01,191381,Long Tail,Food
SWE,ES,216302,2020-09-09,54561,Long Tail,Sandwich
SWE,IT,257117,2021-01-14,244075,Long Tail,Food
EEMEA,KZ,231815,2020-10-30,138859,Long Tail,Japanese
SWE,IT,295844,2021-04-21,294962,Long Tail,Food
SWE,PL,307546,2021-05-20,307084,Long Tail,Food
SWE,ES,284707,2021-03-25,283307,Long Tail,Pizza
EEMEA,UA,311797,2021-05-27,202239,Long Tail,Qcommerce
SWE,IT,234144,2020-11-06,231780,Long Tail,Pizza
EEMEA,BG,296039,2021-04-21,265763,Long Tail,Mexican
EEMEA,UA,247119,2020-12-10,185370,Long Tail,Qcommerce
EEMEA,UA,311305,2021-05-27,254583,Long Tail,Healthy
SWE,ES,237112,2020-11-16,235383,Long Tail,-
EEMEA,KE,261784,2021-01-27,220531,Long Tail,Pizza
SWE,PL,247617,2020-12-11,247517,Long Tail,Food
SWE,ES,227809,2020-10-20,173979,Long Tail,Burger
SWE,PL,220169,2020-09-25,192828,Long Tail,Food
EEMEA,GE,280888,2021-03-16,53039,Big Chain,Chicken
EEMEA,UA,236915,2020-11-16,224116,Long Tail,Sushi
SWE,IT,267274,2021-02-10,266960,Long Tail,Food
SWE,IT,222103,2020-10-02,208370,Long Tail,Italian
EEMEA,KE,272177,2021-02-23,202375,Long Tail,Grill
SWE,ES,275873,2021-03-02,266095,Long Tail,Latin
EEMEA,GE,280999,2021-03-16,182681,Big Chain,Chicken
SWE,PL,211361,2020-08-18,211174,Long Tail,Food
SWE,IT,233983,2020-11-06,107570,Local Hero,Sushi
SWE,ES,286099,2021-03-29,285995,Long Tail,Burger
SWE,ES,297085,2021-04-22,261739,Long Tail,Food
SWE,IT,228465,2020-10-21,189152,Long Tail,Burger
EEMEA,UA,311793,2021-05-27,185367,Long Tail,Qcommerce
SWE,ES,297784,2021-04-24,260838,Long Tail,Food
SWE,IT,300226,2021-04-30,298615,Long Tail,Food
SWE,ES,214448,2020-08-31,209300,Long Tail,Indian
SWE,IT,222236,2020-10-02,156668,Long Tail,Food
EEMEA,KE,226868,2020-10-16,58603,Long Tail,Chinese
SWE,ES,286166,2021-03-29,278223,Long Tail,Pizza
EEMEA,KE,280177,2021-03-12,280062,Long Tail,Food
EEMEA,GE,238840,2020-11-20,47224,Long Tail,Mixed
LATAM,PE,233371,2020-11-04,16153,Long Tail,Food
SWE,IT,273414,2021-02-24,255809,Long Tail,Pizza
EEMEA,RO,216076,2020-09-08,167015,Long Tail,Food
EEMEA,RO,247007,2020-12-10,164435,Long Tail,Burger
SWE,ES,275266,2021-03-01,221698,Long Tail,Mexican
SWE,IT,263577,2021-02-01,261707,Long Tail,Food
SWE,IT,289105,2021-04-06,288410,Long Tail,Food
EEMEA,RO,258657,2021-01-20,254892,Long Tail,-
EEMEA,KZ,231722,2020-10-30,140938,Long Tail,Italian
SWE,ES,291041,2021-04-10,290436,Long Tail,Food
SWE,ES,309883,2021-05-25,156713,Long Tail,Food
SWE,PL,248863,2020-12-15,174484,Long Tail,Food
SWE,IT,300714,2021-05-03,252355,Long Tail,Food
SWE,IT,299356,2021-04-28,287761,Long Tail,Food
SWE,ES,303115,2021-05-07,263506,Long Tail,Food
SWE,IT,245019,2020-12-04,244777,Long Tail,Pizza
SWE,IT,265121,2021-02-04,264825,Long Tail,Food
SWE,ES,275223,2021-03-01,124037,Long Tail,Vegan / Vegetarian
SWE,IT,259813,2021-01-21,260009,Long Tail,Sushi
SWE,PT,228224,2020-10-21,190664,Long Tail,Food
SWE,IT,279689,2021-03-11,279568,Long Tail,Drinks
SWE,ES,215028,2020-09-02,214940,Long Tail,Burger
EEMEA,UA,245112,2020-12-04,249727,Local Hero,cookroom
SWE,IT,222622,2020-10-05,183313,Long Tail,Italian
SWE,IT,305381,2021-05-13,305315,Long Tail,Food
SWE,ES,209069,2020-08-05,85902,Long Tail,Japanese
SWE,IT,278700,2021-03-09,276776,Long Tail,Italian
SWE,PL,262280,2021-01-28,140759,Long Tail,Food
SWE,IT,227884,2020-10-21,155629,Long Tail,Food
EEMEA,UA,262934,2021-01-29,233962,Local Hero,American
SWE,PT,313111,2021-05-31,289243,Long Tail,Food
